"","site","topography","plot","year","season","samplingPoint","tree","canopyPosition","treatment","number","CodiSAQ","Codesamples","tissue","height","family","genus","specie","d13C","d15N","C","N","CN","CP","NP","P","K","Na","Mg","Ca","Fe","Mn","Ni","Cu","Sr","Nfix","sp"
"1","Nouragues","Bottom","3","2019","Dry",NA,"32","Top","P",NA,NA,"1175-19DNB3-32T-E","leaf",NA,"Fabaceae","Eperua","falcata",-30.521,1.353,50.005,1.791,27.922,591.58,21.187,0.085,0.623,295.605,0.19,0.52,43.224,132.927,0.218,6.415,39.586,1,"Eperua_falcata"
"2","Nouragues","Bottom","3","2019","Dry",NA,"32","Down","P",NA,NA,"1176-19DNB3-32D-E","leaf",NA,"Fabaceae","Eperua","falcata",-31.68,0.809,49.52,2.013,24.602,484.013,19.674,0.102,0.894,229.083,0.155,0.575,36.412,207.809,NA,6.194,41.146,1,"Eperua_falcata"
"3","Nouragues","Bottom","3","2019","Wet",NA,"32","Top","P",NA,NA,"695-19WNB3-32T-E","leaf",NA,"Fabaceae","Eperua","falcata",-29.818,1.292,50.638,1.825,27.754,492.429,17.743,0.103,1.045,NA,0.195,0.393,45.311,101.668,0.265,7.004,27.507,1,"Eperua_falcata"
"4","Nouragues","Bottom","3","2019","Wet",NA,"32","Down","P",NA,NA,"696-19WNB3-32D-E","leaf",NA,"Fabaceae","Eperua","falcata",-30.455,1.184,51.084,1.958,26.084,345.381,13.241,0.148,1.142,262.002,0.172,0.369,115.268,109.541,0.446,8.937,28.039,1,"Eperua_falcata"
"5","Nouragues","Bottom","3","2019","Dry",NA,"33","Top","P",NA,NA,"1177-19DNB3-33T-E","leaf",NA,"Fabaceae","Dicorynia","guianensis",-30.807,3.897,50.127,2.161,23.191,707.061,30.489,0.071,0.615,359.649,0.06,0.657,123.068,340.162,0.703,3.542,61.369,1,"Dicorynia_guianensis"
"6","Nouragues","Bottom","3","2019","Dry",NA,"33","Down","P",NA,NA,"1178-19DNB3-33D-E","leaf",NA,"Fabaceae","Dicorynia","guianensis",-30.414,3.818,50.547,2.012,25.127,778.826,30.995,0.065,0.536,344.191,0.058,0.652,146.001,301.996,0.829,3.836,60.994,1,"Dicorynia_guianensis"
"7","Nouragues","Bottom","3","2019","Wet",NA,"33","Top","P",NA,NA,"697-19WNB3-33T-E","leaf",NA,"Fabaceae","Dicorynia","guianensis",-30.349,3.907,51.068,2.121,24.082,696.852,28.936,0.073,0.576,468.39,0.078,0.43,135.52,230.316,0.748,4.201,35.868,1,"Dicorynia_guianensis"
"8","Nouragues","Bottom","3","2019","Wet",NA,"33","Down","P",NA,NA,"698-19WNB3-33D-E","leaf",NA,"Fabaceae","Dicorynia","guianensis",-30.396,3.711,51.414,2.24,22.951,680.563,29.653,0.076,0.577,449.971,0.068,0.469,110.651,235.654,0.81,4.22,41.222,1,"Dicorynia_guianensis"
"9","Paracou","Bottom","1","2019","Dry",NA,"37","Top","N",NA,NA,"1041-19DPB1-37T-E","leaf",NA,"Putranjivaceae","Drypetes","variabilis",-32.59,3.406,44.577,1.435,31.056,764.674,24.623,0.058,1.527,5095.567,0.318,0.482,81.331,265.858,1.412,5.632,67.879,0,"Drypetes_variabilis"
"10","Paracou","Bottom","1","2019","Dry",NA,"37","Down","N",NA,NA,"1042-19DPB1-37D-E","leaf",NA,"Putranjivaceae","Drypetes","variabilis",-32.31,3.326,44.543,1.699,26.21,679.032,25.907,0.066,1.747,5433.166,0.432,0.585,132.153,334.552,1.301,5.671,80.94,0,"Drypetes_variabilis"
