"","Site","Topography","Treatment","ID.CIRAD","DBH.2015","Family","Genus","Specie","DBH.03_06_2020","DBH.2020","dif","pond","nfix","year_pond"
"36","Paracou","B","N","PAR_B1-36",10.9816910733408,"Fabaceae","Inga",NA,"10.95",10.95,0,0,1,0
"37","Paracou","B","N","PAR_B1-37",21.4859173174059,"Anacardiaceae",NA,NA,"22",22,0.514082682594129,0.02392649450334,1,0.004785298900668
"38","Paracou","B","N","PAR_B1-38",15.4380294799138,"Chrysobalanaceae","Licania","heteromorpha","15.62",15.62,0.181970520086152,0.0117871597746921,0,0.00235743195493842
"39","Paracou","B","N","PAR_B1-39",20.5309876588545,"Icacinaceae","Poraqueiba","guianensis","21",21,0.4690123411455,0.022844119773421,0,0.0045688239546842
"63","Paracou","B","N","PAR_B1-63",48.70141258612,"Fabaceae","Bocoa","prouacensis","50.46",50.46,1.75858741388003,0.0361095771251044,1,0.00722191542502088
"64","Paracou","B","N","PAR_B1-64",45.9957785535578,"Chrysobalanaceae","Licania","alba","50",50,4.00422144644224,0.0870562815189595,0,0.0174112563037919
"65","Paracou","B","N","PAR_B1-65",28.966199642725,"Annonaceae","Oxandra","asbeckii","29.08",29.08,0.113800357275046,0.00392872930100197,0,0.000785745860200394
"66","Paracou","B","N","PAR_B1-66",32.7859182769304,"Sapindaceae","Talisia",NA,"33.32",33.32,0.534081723069562,0.0162899729865234,0,0.00325799459730469
"67","Paracou","B","N","PAR_B1-67",42.1760599193523,"Fabaceae","Eperua","falcata","42.4",42.4,0.223940080647736,0.00530964914873384,1,0.00106192982974677
"68","Paracou","B","N","PAR_B1-68",17.1887338539247,"Chrysobalanaceae","Licania","alba","17.149999999999999",17.15,0,0,0,0
"71","Paracou","B","N","PAR_B1-71",20.0535228295788,"Myristicaceae","Iryanthera","hostmannii","20.399999999999999",20.4,0.346477170421185,0.0172776211624091,0,0.00345552423248182
"74","Paracou","B","N","PAR_B1-74",10.1859163578813,"Myristicaceae","Iryanthera","hostmannii","11.36",11.36,1.1740836421187,0.115265392024376,0,0.0230530784048753
"86","Paracou","B","N","PAR_B1-86",19.0985931710274,"Fabaceae","Bocoa","prouacensis","19.28",19.28,0.181406828972559,0.00949843935352019,1,0.00189968787070404
"87","Paracou","B","N","PAR_B1-87",29.6028194150925,"Fabaceae","Swartzia","panacoco","29.71",29.71,0.107180584907468,0.00362062084035224,1,0.000724124168070447
"88","Paracou","B","N","PAR_B1-88",18.1436635124761,"Apocynaceae","Ambelania","acida","18",18,0,0,0,0
